revision_id,product_sk,mrp,selling_price,effective_from,effective_to
500091,1025,220.21,196.62,2024-05-13,2024-09-10
500092,1025,230.13,205.47,2024-09-11,9999-12-31
500093,1026,393.06,350.95,2022-01-01,2023-03-25
500094,1026,436.6,389.82,2023-03-26,2023-07-13
500095,1026,434.58,388.02,2023-07-14,2023-12-13
500096,1026,478.42,427.16,2023-12-14,2024-05-28
500097,1026,537.98,480.34,2024-05-29,9999-12-31
500098,1027,1532.1,1367.95,2022-01-01,2023-02-02
500099,1027,1528.31,1364.56,2023-02-03,2023-03-09
500100,1027,1597.24,1426.11,2023-03-10,2024-08-30
500101,1027,1672.27,1493.1,2024-08-31,2024-10-24
500102,1027,1642.1,1466.16,2024-10-25,9999-12-31
500103,1028,39.14,34.95,2022-01-01,2023-03-27
500104,1028,41.17,36.76,2023-03-28,2023-06-02
500105,1028,42.88,38.29,2023-06-03,2023-08-06
500106,1028,47.5,42.41,2023-08-07,2024-09-24
500107,1028,52.4,46.79,2024-09-25,9999-12-31
500108,1029,143.3,127.95,2022-01-01,2023-06-01
500109,1029,166.72,148.86,2023-06-02,2023-06-26
500110,1029,163.54,146.02,2023-06-27,2023-09-21
500111,1029,175.46,156.66,2023-09-22,2024-10-04
500112,1029,182.25,162.72,2024-10-05,9999-12-31
500113,1030,270.98,241.95,2022-01-01,2024-08-14
500114,1030,304.75,272.1,2024-08-15,9999-12-31
500115,1031,1200.58,1071.95,2022-01-01,2024-02-10
500116,1031,1202.77,1073.9,2024-02-11,9999-12-31
500117,1032,157.86,140.95,2022-01-01,2024-09-06
500118,1032,156.67,139.88,2024-09-07,9999-12-31
500119,1033,86.18,76.95,2022-01-01,2024-02-02
500120,1033,87.42,78.05,2024-02-03,2024-09-07
500121,1033,89.21,79.65,2024-09-08,2024-10-17
500122,1033,88.73,79.22,2024-10-18,9999-12-31
500123,1034,66.02,58.95,2022-01-01,2024-01-22
500124,1034,70.48,62.93,2024-01-23,2024-03-04
500125,1034,75.12,67.07,2024-03-05,9999-12-31
500126,1035,395.3,352.95,2022-01-01,2024-07-02
500127,1035,398.57,355.87,2024-07-03,2024-09-08
500128,1035,403.38,360.16,2024-09-09,9999-12-31
500129,1036,590.18,526.95,2022-01-01,2024-04-04
500130,1036,610.3,544.91,2024-04-05,9999-12-31
500131,1037,1140.1,1017.95,2022-01-01,2023-09-07
500132,1037,1299.22,1160.02,2023-09-08,2024-01-14
500133,1037,1389.27,1240.42,2024-01-15,2024-01-27
500134,1037,1400.35,1250.31,2024-01-28,9999-12-31
500135,1038,1007.94,899.95,2022-01-01,2023-12-26
500136,1038,1060.81,947.15,2023-12-27,2024-02-09
500137,1038,1077.32,961.89,2024-02-10,2024-02-24
500138,1038,1259.1,1124.2,2024-02-25,2024-08-26
500139,1038,1254.77,1120.33,2024-08-27,9999-12-31
500140,1039,207.14,184.95,2022-01-01,2024-02-05
500141,1039,220.64,197.0,2024-02-06,9999-12-31
500142,1040,937.38,836.95,2022-01-01,2023-05-11
500143,1040,1021.59,912.13,2023-05-12,2023-07-07
500144,1040,1074.88,959.71,2023-07-08,2023-08-19
500145,1040,1049.85,937.37,2023-08-20,2024-05-10
500146,1040,1081.43,965.56,2024-05-11,9999-12-31
500147,1041,503.94,449.95,2022-01-01,2024-08-21
500148,1041,543.35,485.13,2024-08-22,9999-12-31
500149,1042,245.22,218.95,2022-01-01,2024-10-27
500150,1042,269.3,240.45,2024-10-28,9999-12-31
500151,1043,58.18,51.95,2022-01-01,2023-02-12
500152,1043,53.61,47.87,2023-02-13,2024-05-18
500153,1043,56.22,50.2,2024-05-19,2024-05-19
500154,1043,60.42,53.95,2024-05-20,9999-12-31
500155,1044,847.78,756.95,2022-01-01,2024-01-22
500156,1044,810.97,724.08,2024-01-23,2024-02-01
500157,1044,864.43,771.81,2024-02-02,9999-12-31
500158,1045,304.58,271.95,2022-01-01,2023-04-21
500159,1045,310.84,277.54,2023-04-22,2024-06-17
500160,1045,324.03,289.31,2024-06-18,2024-08-13
500161,1045,357.91,319.56,2024-08-14,2024-09-12
500162,1045,368.1,328.66,2024-09-13,9999-12-31
500163,1046,50.34,44.95,2022-01-01,2023-05-04
500164,1046,53.82,48.05,2023-05-05,2024-10-07
500165,1046,61.57,54.97,2024-10-08,9999-12-31
500166,1047,46.98,41.95,2022-01-01,2023-04-09
500167,1047,49.88,44.54,2023-04-10,2024-05-18
500168,1047,53.52,47.79,2024-05-19,9999-12-31
500169,1048,195.94,174.95,2022-01-01,2024-01-19
500170,1048,211.42,188.77,2024-01-20,9999-12-31
500171,1049,290.02,258.95,2022-01-01,2023-05-05
500172,1049,294.16,262.64,2023-05-06,2023-07-24
500173,1049,302.47,270.06,2023-07-25,2023-12-18
500174,1049,312.32,278.86,2023-12-19,2024-04-11
500175,1049,335.99,299.99,2024-04-12,9999-12-31
500176,1050,536.42,478.95,2022-01-01,2024-08-14
500177,1050,575.62,513.95,2024-08-15,2024-10-20
500178,1050,591.25,527.9,2024-10-21,9999-12-31
500179,1051,207.14,184.95,2022-01-01,2023-03-11
500180,1051,210.62,188.05,2023-03-12,2023-05-17
500181,1051,204.55,182.63,2023-05-18,9999-12-31
500182,1052,282.18,251.95,2022-01-01,2023-06-23
500183,1052,304.38,271.77,2023-06-24,2023-10-20
500184,1052,282.89,252.58,2023-10-21,2024-01-09
500185,1052,303.4,270.89,2024-01-10,2024-10-26
500186,1052,316.74,282.8,2024-10-27,9999-12-31
500187,1053,502.82,448.95,2022-01-01,2023-11-16
500188,1053,528.06,471.48,2023-11-17,2023-11-27
500189,1053,606.86,541.84,2023-11-28,2024-03-21
500190,1053,602.45,537.9,2024-03-22,9999-12-31
500191,1054,141.06,125.95,2022-01-01,2023-11-19
500192,1054,153.15,136.74,2023-11-20,2023-11-23
500193,1054,162.11,144.74,2023-11-24,2024-01-07
500194,1054,183.06,163.45,2024-01-08,9999-12-31
500195,1055,147.78,131.95,2022-01-01,2023-06-05
500196,1055,151.19,134.99,2023-06-06,2024-01-27
500197,1055,152.97,136.58,2024-01-28,9999-12-31
500198,1056,101.86,90.95,2022-01-01,2023-10-16
500199,1056,110.68,98.82,2023-10-17,2024-01-15
500200,1056,117.4,104.82,2024-01-16,2024-07-02
500201,1056,130.33,116.37,2024-07-03,9999-12-31
500202,1057,339.3,302.95,2022-01-01,2024-01-23
500203,1057,358.8,320.36,2024-01-24,9999-12-31
500204,1058,72.74,64.95,2022-01-01,2024-01-01
500205,1058,77.69,69.37,2024-01-02,2024-02-05
500206,1058,80.34,71.73,2024-02-06,2024-10-30
500207,1058,80.4,71.79,2024-10-31,9999-12-31
500208,1059,372.9,332.95,2022-01-01,2023-08-13
500209,1059,368.11,328.67,2023-08-14,2023-09-29
500210,1059,383.19,342.13,2023-09-30,2024-04-14
500211,1059,435.34,388.7,2024-04-15,2024-05-25
500212,1059,487.42,435.2,2024-05-26,9999-12-31
500213,1060,229.54,204.95,2022-01-01,2024-10-14
500214,1060,239.65,213.97,2024-10-15,9999-12-31
500215,1061,133.22,118.95,2022-01-01,2023-11-18
500216,1061,145.53,129.94,2023-11-19,2024-03-11
500217,1061,141.16,126.04,2024-03-12,2024-05-18
500218,1061,136.15,121.56,2024-05-19,9999-12-31
500219,1062,135.46,120.95,2022-01-01,2023-08-08
500220,1062,136.88,122.21,2023-08-09,2023-10-18
500221,1062,137.57,122.83,2023-10-19,2024-09-04
500222,1062,148.88,132.93,2024-09-05,2024-10-12
500223,1062,168.94,150.84,2024-10-13,9999-12-31
500224,1063,67.14,59.95,2022-01-01,2023-09-23
500225,1063,72.13,64.4,2023-09-24,2024-08-01
500226,1063,74.54,66.55,2024-08-02,9999-12-31
500227,1064,470.34,419.95,2022-01-01,2024-10-02
500228,1064,570.4,509.29,2024-10-03,9999-12-31
500229,1065,200.42,178.95,2022-01-01,2023-05-25
500230,1065,208.58,186.23,2023-05-26,2023-09-12
500231,1065,211.18,188.55,2023-09-13,2023-12-21
500232,1065,219.23,195.74,2023-12-22,2024-06-30
500233,1065,232.19,207.31,2024-07-01,9999-12-31
500234,1066,1063.94,949.95,2022-01-01,2024-02-22
500235,1066,1100.37,982.47,2024-02-23,9999-12-31
500236,1067,266.5,237.95,2022-01-01,2023-02-22
500237,1067,279.44,249.5,2023-02-23,2023-05-26
500238,1067,293.34,261.91,2023-05-27,2023-08-04
500239,1067,315.59,281.78,2023-08-05,2024-07-30
500240,1067,325.44,290.57,2024-07-31,9999-12-31
500241,1068,52.58,46.95,2022-01-01,2024-05-20
500242,1068,55.78,49.8,2024-05-21,2024-08-04
500243,1068,56.12,50.11,2024-08-05,2024-09-17
500244,1068,55.98,49.98,2024-09-18,9999-12-31
500245,1069,365.06,325.95,2022-01-01,2023-11-19
500246,1069,383.63,342.53,2023-11-20,2024-08-13
500247,1069,384.07,342.92,2024-08-14,9999-12-31
500248,1070,918.34,819.95,2022-01-01,2024-06-14
500249,1070,1045.37,933.37,2024-06-15,9999-12-31
500250,1071,70.5,62.95,2022-01-01,2023-11-20
500251,1071,72.26,64.52,2023-11-21,2024-05-08
500252,1071,75.4,67.32,2024-05-09,9999-12-31
500253,1072,263.14,234.95,2022-01-01,2024-08-18
500254,1072,289.09,258.12,2024-08-19,9999-12-31
500255,1073,151.14,134.95,2022-01-01,2023-12-28
500256,1073,160.59,143.38,2023-12-29,2024-04-02
500257,1073,173.05,154.51,2024-04-03,2024-08-11
500258,1073,170.06,151.84,2024-08-12,2024-10-17
500259,1073,160.8,143.57,2024-10-18,9999-12-31
500260,1074,431.14,384.95,2022-01-01,2024-01-01
500261,1074,456.44,407.54,2024-01-02,2024-08-22
500262,1074,495.78,442.66,2024-08-23,9999-12-31
500263,1075,436.74,389.95,2022-01-01,2023-06-30
500264,1075,435.14,388.52,2023-07-01,2023-10-02
500265,1075,409.48,365.61,2023-10-03,9999-12-31
500266,1076,666.34,594.95,2022-01-01,2023-09-04
500267,1076,606.26,541.3,2023-09-05,2024-02-04
500268,1076,612.01,546.44,2024-02-05,2024-02-21
500269,1076,698.12,623.32,2024-02-22,2024-09-10
500270,1076,667.41,595.9,2024-09-11,9999-12-31
500271,1077,534.18,476.95,2022-01-01,2023-05-26
500272,1077,545.08,486.68,2023-05-27,2023-08-30
500273,1077,568.78,507.84,2023-08-31,2023-12-31
500274,1077,528.1,471.52,2024-01-01,9999-12-31
500275,1078,136.58,121.95,2022-01-01,2023-06-03
500276,1078,137.83,123.06,2023-06-04,9999-12-31
500277,1079,338.18,301.95,2022-01-01,2024-07-28
500278,1079,358.88,320.43,2024-07-29,9999-12-31
500279,1080,441.22,393.95,2022-01-01,2023-03-17
500280,1080,477.83,426.63,2023-03-18,2023-04-09
500281,1080,477.4,426.25,2023-04-10,2023-07-11
500282,1080,487.23,435.03,2023-07-12,9999-12-31
500283,1081,178.02,158.95,2022-01-01,2023-07-22
500284,1081,197.79,176.6,2023-07-23,2023-08-18
500285,1081,215.79,192.67,2023-08-19,2024-04-25
500286,1081,198.07,176.85,2024-04-26,2024-11-11
500287,1081,202.61,180.9,2024-11-12,9999-12-31
500288,1082,132.1,117.95,2022-01-01,2024-08-01
500289,1082,151.18,134.98,2024-08-02,9999-12-31
500290,1083,311.3,277.95,2022-01-01,2024-08-18
500291,1083,336.11,300.1,2024-08-19,9999-12-31
500292,1084,152.26,135.95,2022-01-01,2023-10-24
500293,1084,168.34,150.3,2023-10-25,2024-01-31
500294,1084,178.89,159.72,2024-02-01,2024-09-09
500295,1084,184.12,164.39,2024-09-10,2024-11-05
500296,1084,191.15,170.67,2024-11-06,9999-12-31
500297,1085,30.18,26.95,2022-01-01,2023-02-10
500298,1085,30.71,27.42,2023-02-11,2024-03-15
500299,1085,32.91,29.38,2024-03-16,2024-09-13
500300,1085,36.27,32.38,2024-09-14,9999-12-31
500301,1086,432.26,385.95,2022-01-01,2023-10-24
500302,1086,435.29,388.65,2023-10-25,2024-08-04
500303,1086,453.4,404.82,2024-08-05,9999-12-31
500304,1087,160.1,142.95,2022-01-01,2023-05-02
500305,1087,158.01,141.08,2023-05-03,2023-06-07
500306,1087,172.09,153.65,2023-06-08,2023-12-02
500307,1087,173.15,154.6,2023-12-03,2024-11-10
500308,1087,187.49,167.4,2024-11-11,9999-12-31
500309,1088,90.66,80.95,2022-01-01,2023-09-08
500310,1088,86.15,76.92,2023-09-09,2024-01-04
500311,1088,85.27,76.13,2024-01-05,2024-10-12
500312,1088,84.88,75.79,2024-10-13,9999-12-31
500313,1089,231.78,206.95,2022-01-01,2023-12-16
500314,1089,253.69,226.51,2023-12-17,2024-03-07
500315,1089,257.02,229.48,2024-03-08,2024-03-22
500316,1089,235.98,210.7,2024-03-23,9999-12-31
500317,1090,465.86,415.95,2022-01-01,2024-07-24
500318,1090,493.12,440.29,2024-07-25,9999-12-31
500319,1091,248.58,221.95,2022-01-01,2023-01-31
500320,1091,280.21,250.19,2023-02-01,2023-04-06
500321,1091,302.32,269.93,2023-04-07,2023-10-01
500322,1091,312.57,279.08,2023-10-02,2023-10-16
500323,1091,371.34,331.55,2023-10-17,9999-12-31
500324,1092,370.66,330.95,2022-01-01,2024-08-27
500325,1092,406.87,363.28,2024-08-28,2024-09-25
500326,1092,425.02,379.48,2024-09-26,9999-12-31
500327,1093,664.1,592.95,2022-01-01,2023-03-19
500328,1093,646.0,576.79,2023-03-20,2023-08-01
500329,1093,663.62,592.52,2023-08-02,2024-07-19
500330,1093,703.8,628.39,2024-07-20,2024-11-05
500331,1093,693.24,618.96,2024-11-06,9999-12-31
500332,1094,49.22,43.95,2022-01-01,2024-06-05
500333,1094,50.92,45.46,2024-06-06,9999-12-31
500334,1095,52.58,46.95,2022-01-01,2024-01-29
500335,1095,56.59,50.53,2024-01-30,9999-12-31
500336,1096,309.06,275.95,2022-01-01,2023-10-20
500337,1096,309.28,276.14,2023-10-21,2023-10-27
500338,1096,314.82,281.09,2023-10-28,2024-08-24
500339,1096,341.72,305.11,2024-08-25,9999-12-31
500340,1097,255.3,227.95,2022-01-01,2024-09-06
500341,1097,286.91,256.17,2024-09-07,9999-12-31
500342,1098,329.22,293.95,2022-01-01,2023-06-21
500343,1098,341.12,304.57,2023-06-22,2023-09-14
500344,1098,364.31,325.28,2023-09-15,2024-07-30
500345,1098,378.29,337.76,2024-07-31,9999-12-31
500346,1099,856.74,764.95,2022-01-01,2023-11-10
500347,1099,881.91,787.42,2023-11-11,2024-10-24
500348,1099,896.24,800.21,2024-10-25,9999-12-31
500349,1100,94.02,83.95,2022-01-01,2024-01-02
500350,1100,110.94,99.05,2024-01-03,2024-06-09
500351,1100,124.82,111.45,2024-06-10,2024-07-17
500352,1100,120.09,107.22,2024-07-18,9999-12-31
500353,1101,183.62,163.95,2022-01-01,2023-10-28
500354,1101,183.97,164.26,2023-10-29,2024-07-28
500355,1101,191.63,171.1,2024-07-29,9999-12-31
500356,1102,102.98,91.95,2022-01-01,2024-01-19
500357,1102,103.28,92.21,2024-01-20,2024-03-02
500358,1102,108.36,96.75,2024-03-03,2024-05-22
500359,1102,113.38,101.23,2024-05-23,9999-12-31
500360,1103,566.66,505.95,2022-01-01,2024-07-19
500361,1103,599.85,535.58,2024-07-20,2024-10-14
500362,1103,628.9,561.52,2024-10-15,9999-12-31
500363,1104,273.22,243.95,2022-01-01,2023-07-03
500364,1104,315.83,281.99,2023-07-04,2023-12-02
500365,1104,321.81,287.33,2023-12-03,2024-07-27
500366,1104,369.79,330.17,2024-07-28,9999-12-31
500367,1105,276.58,246.95,2022-01-01,2023-05-01
500368,1105,300.5,268.3,2023-05-02,2024-04-19
500369,1105,285.34,254.77,2024-04-20,9999-12-31
500370,1106,744.74,664.95,2022-01-01,2023-10-12
500371,1106,784.97,700.87,2023-10-13,9999-12-31
500372,1107,69.38,61.95,2022-01-01,2023-05-29
500373,1107,76.4,68.21,2023-05-30,2023-06-20
500374,1107,69.29,61.87,2023-06-21,2024-08-23
500375,1107,75.12,67.07,2024-08-24,9999-12-31
500376,1108,83.94,74.95,2022-01-01,2024-01-20
500377,1108,91.68,81.86,2024-01-21,2024-02-10
500378,1108,96.03,85.74,2024-02-11,2024-04-09
500379,1108,102.59,91.6,2024-04-10,9999-12-31
500380,1109,58.18,51.95,2022-01-01,2023-09-08
500381,1109,59.24,52.89,2023-09-09,2023-11-27
500382,1109,58.08,51.86,2023-11-28,2024-01-09
500383,1109,57.41,51.26,2024-01-10,9999-12-31
500384,1110,302.34,269.95,2022-01-01,2024-08-08
500385,1110,310.49,277.22,2024-08-09,9999-12-31
500386,1111,788.42,703.95,2022-01-01,2024-08-20
500387,1111,864.61,771.97,2024-08-21,2024-08-22
500388,1111,919.35,820.85,2024-08-23,9999-12-31
500389,1112,685.38,611.95,2022-01-01,2024-09-28
500390,1112,733.59,654.99,2024-09-29,9999-12-31
500391,1113,221.7,197.95,2022-01-01,2024-02-25
500392,1113,235.2,210.0,2024-02-26,2024-05-14
500393,1113,230.48,205.79,2024-05-15,9999-12-31
500394,1114,42.5,37.95,2022-01-01,2023-06-03
500395,1114,44.3,39.55,2023-06-04,2023-08-26
500396,1114,45.0,40.18,2023-08-27,2024-09-04
500397,1114,48.18,43.02,2024-09-05,2024-11-13
500398,1114,51.74,46.2,2024-11-14,9999-12-31
500399,1115,294.5,262.95,2022-01-01,2024-05-25
500400,1115,311.99,278.56,2024-05-26,9999-12-31
500401,1116,226.18,201.95,2022-01-01,2023-10-27
500402,1116,224.73,200.65,2023-10-28,9999-12-31
500403,1117,822.02,733.95,2022-01-01,2023-02-16
500404,1117,821.76,733.71,2023-02-17,2023-06-18
500405,1117,831.75,742.63,2023-06-19,2024-04-19
500406,1117,868.29,775.26,2024-04-20,2024-05-03
500407,1117,903.76,806.93,2024-05-04,9999-12-31
500408,1118,1110.98,991.95,2022-01-01,2023-09-25
500409,1118,1227.73,1096.19,2023-09-26,2023-12-25
500410,1118,1276.8,1140.0,2023-12-26,2024-04-14
500411,1118,1348.41,1203.94,2024-04-15,2024-10-09
500412,1118,1242.74,1109.59,2024-10-10,9999-12-31
500413,1119,1179.3,1052.95,2022-01-01,2024-01-17
500414,1119,1364.35,1218.17,2024-01-18,9999-12-31
500415,1120,42.5,37.95,2022-01-01,2024-10-20
500416,1120,42.59,38.03,2024-10-21,9999-12-31
500417,1121,270.98,241.95,2022-01-01,2023-12-13
500418,1121,277.85,248.08,2023-12-14,9999-12-31
500419,1122,186.98,166.95,2022-01-01,2024-06-23
500420,1122,196.67,175.6,2024-06-24,2024-07-11
500421,1122,193.58,172.84,2024-07-12,9999-12-31
500422,1123,331.46,295.95,2022-01-01,2023-05-04
500423,1123,325.6,290.71,2023-05-05,2024-03-16
500424,1123,386.48,345.07,2024-03-17,9999-12-31
500425,1124,199.3,177.95,2022-01-01,2023-08-15
500426,1124,209.29,186.87,2023-08-16,2023-09-22
500427,1124,210.31,187.78,2023-09-23,2023-12-24
500428,1124,216.43,193.24,2023-12-25,2024-11-12
500429,1124,233.67,208.63,2024-11-13,9999-12-31
500430,1125,63.78,56.95,2022-01-01,2024-04-16
500431,1125,69.61,62.15,2024-04-17,9999-12-31
500432,1126,156.74,139.95,2022-01-01,2023-11-11
500433,1126,174.7,155.98,2023-11-12,2024-05-03
500434,1126,179.12,159.93,2024-05-04,2024-08-11
500435,1126,179.19,159.99,2024-08-12,9999-12-31
500436,1127,594.66,530.95,2022-01-01,2023-11-12
500437,1127,637.24,568.96,2023-11-13,2023-11-25
500438,1127,697.67,622.92,2023-11-26,2023-12-15
500439,1127,801.42,715.55,2023-12-16,2024-01-22
500440,1127,810.52,723.68,2024-01-23,9999-12-31
500441,1128,1094.18,976.95,2022-01-01,2024-09-10
500442,1128,1151.8,1028.39,2024-09-11,9999-12-31
500443,1129,119.78,106.95,2022-01-01,2023-08-06
500444,1129,136.76,122.11,2023-08-07,2023-12-14
500445,1129,144.61,129.12,2023-12-15,2024-01-19
500446,1129,147.24,131.46,2024-01-20,9999-12-31
500447,1130,71.62,63.95,2022-01-01,2023-04-24
500448,1130,77.04,68.79,2023-04-25,9999-12-31
500449,1131,78.34,69.95,2022-01-01,2023-07-30
500450,1131,81.21,72.51,2023-07-31,2023-09-10
500451,1131,79.18,70.7,2023-09-11,2024-03-14
500452,1131,79.63,71.1,2024-03-15,2024-09-10
500453,1131,75.49,67.4,2024-09-11,9999-12-31
500454,1132,488.26,435.95,2022-01-01,2024-06-01
500455,1132,494.4,441.43,2024-06-02,9999-12-31
500456,1133,46.98,41.95,2022-01-01,2023-08-25
500457,1133,46.48,41.5,2023-08-26,2023-12-09
500458,1133,51.68,46.14,2023-12-10,2024-02-08
500459,1133,55.15,49.24,2024-02-09,2024-09-30
500460,1133,56.41,50.37,2024-10-01,9999-12-31
500461,1134,288.9,257.95,2022-01-01,2024-08-04
500462,1134,309.29,276.15,2024-08-05,9999-12-31
500463,1135,194.82,173.95,2022-01-01,2023-06-29
500464,1135,187.5,167.41,2023-06-30,2023-07-05
500465,1135,199.17,177.83,2023-07-06,2024-01-07
500466,1135,191.96,171.39,2024-01-08,2024-04-15
500467,1135,223.46,199.52,2024-04-16,9999-12-31
500468,1136,82.82,73.95,2022-01-01,2024-02-14
500469,1136,84.91,75.81,2024-02-15,2024-10-15
500470,1136,91.09,81.33,2024-10-16,9999-12-31
500471,1137,465.86,415.95,2022-01-01,2024-03-12
500472,1137,472.62,421.98,2024-03-13,9999-12-31
500473,1138,274.34,244.95,2022-01-01,2024-02-28
500474,1138,314.69,280.97,2024-02-29,2024-09-19
500475,1138,359.15,320.67,2024-09-20,9999-12-31
500476,1139,939.62,838.95,2022-01-01,2023-06-11
500477,1139,1025.71,915.81,2023-06-12,2023-07-27
500478,1139,1144.44,1021.82,2023-07-28,2023-12-29
500479,1139,1178.32,1052.07,2023-12-30,2024-07-05
500480,1139,1085.54,969.23,2024-07-06,9999-12-31
500481,1140,42.5,37.95,2022-01-01,2023-11-26
500482,1140,43.89,39.19,2023-11-27,2024-07-15
500483,1140,46.31,41.35,2024-07-16,9999-12-31
500484,1141,229.54,204.95,2022-01-01,2023-03-11
500485,1141,261.03,233.06,2023-03-12,2024-02-18
500486,1141,283.15,252.81,2024-02-19,2024-05-22
500487,1141,323.24,288.61,2024-05-23,2024-09-06
500488,1141,366.41,327.15,2024-09-07,9999-12-31
500489,1142,144.42,128.95,2022-01-01,2023-02-09
500490,1142,153.65,137.19,2023-02-10,2023-02-16
500491,1142,163.53,146.01,2023-02-17,2023-08-05
500492,1142,165.64,147.89,2023-08-06,2024-03-09
500493,1142,194.28,173.46,2024-03-10,9999-12-31
500494,1143,165.7,147.95,2022-01-01,2023-06-05
500495,1143,159.82,142.7,2023-06-06,2023-11-29
