product_sk,product_code,product_name,category_id,brand,pack_size,uom,valid_from,valid_to,is_current
1044,P100305,India Gate Toor Dal 1kg,C04,India Gate,1kg,EA,2019-04-01,9999-12-31,True
1045,P100308,Pampers Baby Powder Medium,C09,Pampers,Medium,EA,2019-04-01,9999-12-31,True
1046,P100319,English Oven Sandwich Bread Pack of 2,C11,English Oven,Pack of 2,EA,2019-04-01,9999-12-31,True
1047,P100326,Sunfeast Marie Gold 400g,C01,Sunfeast,400g,EA,2019-04-01,9999-12-31,True
1048,P100330,Amul Cheese Slices 200g,C02,Amul,200g,EA,2019-04-01,9999-12-31,True
1049,P100339,Cadbury Chewing Gum 50g,C13,Cadbury,50g,EA,2019-04-01,9999-12-31,True
1050,P100348,Milky Mist Cheese Slices 500g,C02,Milky Mist,500g,EA,2019-04-01,9999-12-31,True
1051,P100354,Huggies Baby Wipes XL,C09,Huggies,XL,EA,2019-04-01,9999-12-31,True
1052,P100362,24 Mantra Sona Masoori Rice 10kg,C04,24 Mantra,10kg,EA,2019-04-01,9999-12-31,True
1053,P100367,Himalaya Body Lotion 100g,C07,Himalaya,100g,EA,2019-04-01,9999-12-31,True
1054,P100375,Catch Turmeric Powder 500g,C06,Catch,500g,EA,2019-04-01,9999-12-31,True
1055,P100380,Classmate A4 Paper Ream Pack of 5,C14,Classmate,Pack of 5,EA,2019-04-01,9999-12-31,True
1056,P100387,Local Bakery Pav Bun Pack of 2,C11,Local Bakery,Pack of 2,EA,2019-04-01,9999-12-31,True
1057,P100394,McCain Idli Batter 1kg,C10,McCain,1kg,EA,2019-04-01,9999-12-31,True
1058,P100403,Cello A4 Paper Ream 1 pc,C14,Cello,1 pc,EA,2019-04-01,9999-12-31,True
1059,P100406,Mother Dairy Butter 500g,C02,Mother Dairy,500g,EA,2019-04-01,9999-12-31,True
1060,P100418,Safal Banana Loose,C12,Safal,Loose,KG,2019-04-01,9999-12-31,True
1061,P100421,Farm Fresh Apple 500g,C12,Farm Fresh,500g,KG,2019-04-01,9999-12-31,True
1062,P100428,Local Mandi Carrot Loose,C12,Local Mandi,Loose,KG,2019-04-01,9999-12-31,True
1063,P100438,Everest Sambar Powder 50g,C06,Everest,50g,EA,2019-04-01,9999-12-31,True
1064,P100441,Sumeru Ready Paratha 1kg,C10,Sumeru,1kg,EA,2019-04-01,9999-12-31,True
1065,P100453,Classmate Notebook 500 sheets,C14,Classmate,500 sheets,EA,2019-04-01,9999-12-31,True
1066,P100456,Sundrop Sunflower Oil 1L,C05,Sundrop,1L,EA,2019-04-01,9999-12-31,True
1067,P100463,Classmate Pencil Box 500 sheets,C14,Classmate,500 sheets,EA,2019-04-01,9999-12-31,True
1068,P100469,Eastern Garam Masala 200g,C06,Eastern,200g,EA,2019-04-01,9999-12-31,True
1069,P100479,Pampers Baby Wipes Small,C09,Pampers,Small,EA,2019-04-01,9999-12-31,True
1070,P100483,India Gate Whole Wheat Atta 1kg,C04,India Gate,1kg,EA,2019-04-01,9999-12-31,True
1071,P100494,Harpic Fabric Conditioner 1kg,C08,Harpic,1kg,EA,2019-04-01,9999-12-31,True
1072,P100499,Camlin Ball Pen Pack of 5,C14,Camlin,Pack of 5,EA,2019-04-01,9999-12-31,True
1073,P100509,Saffola Sunflower Oil 2L,C05,Saffola,2L,EA,2019-04-01,9999-12-31,True
1074,P100511,McCain French Fries 200g,C10,McCain,200g,EA,2019-04-01,9999-12-31,True
1075,P100519,Pampers Baby Soap Small,C09,Pampers,Small,EA,2019-04-01,9999-12-31,True
1076,P100528,Daawat Poha 10kg,C04,Daawat,10kg,EA,2019-04-01,9999-12-31,True
1077,P100536,Bru Soda 2L,C03,Bru,2L,EA,2019-04-01,9999-12-31,True
1078,P100543,Safal Carrot 500g,C12,Safal,500g,KG,2019-04-01,9999-12-31,True
1079,P100549,ITC Master Chef Frozen Peas 200g,C10,ITC Master Chef,200g,EA,2019-04-01,9999-12-31,True
1080,P100555,Paper Boat Mineral Water 250g,C03,Paper Boat,250g,EA,2019-04-01,9999-12-31,True
1081,P100560,iD Fresh French Fries 1kg,C10,iD Fresh,1kg,EA,2019-04-01,9999-12-31,True
1082,P100571,Amul Choco Candy Pack Pack of 10,C13,Amul Choco,Pack of 10,EA,2019-04-01,9999-12-31,True
1083,P100577,Himalaya Toothpaste 180ml,C07,Himalaya,180ml,EA,2019-04-01,9999-12-31,True
1084,P100582,Vim Toilet Cleaner 1kg,C08,Vim,1kg,EA,2019-04-01,9999-12-31,True
1085,P100593,English Oven Sandwich Bread Pack of 2,C11,English Oven,Pack of 2,EA,2019-04-01,9999-12-31,True
1086,P100595,Cello A4 Paper Ream Pack of 5,C14,Cello,Pack of 5,EA,2019-04-01,9999-12-31,True
1087,P100604,Farm Fresh Onion 1kg,C12,Farm Fresh,1kg,KG,2019-04-01,9999-12-31,True
1088,P100609,Classmate Pencil Box 500 sheets,C14,Classmate,500 sheets,EA,2019-04-01,9999-12-31,True
1089,P100621,Catch Coriander Powder 500g,C06,Catch,500g,EA,2019-04-01,2024-05-31,False
1090,P100627,Heritage Toned Milk 200g,C02,Heritage,200g,EA,2019-04-01,9999-12-31,True
1091,P100632,Cadbury Candy Pack 25g,C13,Cadbury,25g,EA,2019-04-01,9999-12-31,True
1092,P100640,ITC Master Chef Frozen Peas 200g,C10,ITC Master Chef,200g,EA,2019-04-01,9999-12-31,True
1093,P100649,Sundrop Rice Bran Oil 5L,C05,Sundrop,5L,EA,2019-04-01,9999-12-31,True
1094,P100652,Himalaya Face Wash 75g,C07,Himalaya,75g,EA,2019-04-01,9999-12-31,True
1095,P100658,Local Mandi Carrot Loose,C12,Local Mandi,Loose,KG,2019-04-01,9999-12-31,True
1096,P100665,Sumeru French Fries 400g,C10,Sumeru,400g,EA,2019-04-01,9999-12-31,True
1097,P100677,Cadbury Milk Chocolate 50g,C13,Cadbury,50g,EA,2019-04-01,9999-12-31,True
1098,P100682,Johnson's Baby Wipes Small,C09,Johnson's,Small,EA,2019-04-01,9999-12-31,True
1099,P100686,Daawat Toor Dal 5kg,C04,Daawat,5kg,EA,2019-04-01,9999-12-31,True
1100,P100693,Perfetti Candy Pack Pack of 10,C13,Perfetti,Pack of 10,EA,2019-04-01,9999-12-31,True
1101,P100703,Mamypoko Baby Powder Large,C09,Mamypoko,Large,EA,2019-04-01,9999-12-31,True
1102,P100711,Parle Namkeen Mix 60g,C01,Parle,60g,EA,2019-04-01,9999-12-31,True
1103,P100717,Comfort Detergent Powder 500ml,C08,Comfort,500ml,EA,2019-04-01,9999-12-31,True
1104,P100722,Safal Apple 1kg,C12,Safal,1kg,KG,2019-04-01,9999-12-31,True
1105,P100731,Cadbury Dark Chocolate 100g,C13,Cadbury,100g,EA,2019-04-01,9999-12-31,True
1106,P100736,Huggies Baby Wipes Large,C09,Huggies,Large,EA,2019-04-01,9999-12-31,True
1107,P100744,Harvest Gold Pav Bun 400g,C11,Harvest Gold,400g,EA,2019-04-01,9999-12-31,True
1108,P100754,Harvest Gold Sandwich Bread 6 pc,C11,Harvest Gold,6 pc,EA,2019-04-01,9999-12-31,True
1109,P100761,Local Bakery Muffin Pack of 2,C11,Local Bakery,Pack of 2,EA,2019-04-01,9999-12-31,True
1110,P100767,ITC Master Chef Frozen Peas 1kg,C10,ITC Master Chef,1kg,EA,2019-04-01,9999-12-31,True
1111,P100771,Pampers Baby Soap Small,C09,Pampers,Small,EA,2019-04-01,9999-12-31,True
1112,P100781,Dove Hair Oil 340ml,C07,Dove,340ml,EA,2019-04-01,9999-12-31,True
1113,P100784,Bisleri Tea Leaf 500g,C03,Bisleri,500g,EA,2019-04-01,2024-05-31,False
1114,P100791,Nandini Butter 500ml,C02,Nandini,500ml,EA,2019-04-01,9999-12-31,True
1115,P100803,Sundrop Rice Bran Oil 1L,C05,Sundrop,1L,EA,2019-04-01,9999-12-31,True
1116,P100810,Eastern Sambar Powder 50g,C06,Eastern,50g,EA,2019-04-01,9999-12-31,True
1117,P100816,Mamypoko Baby Soap Small,C09,Mamypoko,Small,EA,2019-04-01,9999-12-31,True
1118,P100819,Aashirvaad Poha 5kg,C04,Aashirvaad,5kg,EA,2019-04-01,9999-12-31,True
1119,P100827,24 Mantra Poha 10kg,C04,24 Mantra,10kg,EA,2019-04-01,9999-12-31,True
1120,P100838,Local Bakery Pav Bun 400g,C11,Local Bakery,400g,EA,2019-04-01,9999-12-31,True
1121,P100840,Thums Up Instant Coffee 500g,C03,Thums Up,500g,EA,2019-04-01,9999-12-31,True
1122,P100850,McCain Idli Batter 1kg,C10,McCain,1kg,EA,2019-04-01,9999-12-31,True
1123,P100855,Dove Hair Oil 75g,C07,Dove,75g,EA,2019-04-01,9999-12-31,True
1124,P100864,Perfetti Dark Chocolate Pack of 10,C13,Perfetti,Pack of 10,EA,2019-04-01,9999-12-31,True
1125,P100869,Camlin Ball Pen Pack of 5,C14,Camlin,Pack of 5,EA,2019-04-01,9999-12-31,True
1126,P100879,Farm Fresh Apple Loose,C12,Farm Fresh,Loose,KG,2019-04-01,9999-12-31,True
1127,P100883,Nandini Butter 200ml,C02,Nandini,200ml,EA,2019-04-01,9999-12-31,True
1128,P100889,Sundrop Groundnut Oil 2L,C05,Sundrop,2L,EA,2019-04-01,9999-12-31,True
1129,P100899,Local Mandi Potato 500g,C12,Local Mandi,500g,KG,2019-04-01,9999-12-31,True
1130,P100904,Perfetti Candy Pack 50g,C13,Perfetti,50g,EA,2019-04-01,9999-12-31,True
1131,P100911,English Oven Rusk 400g,C11,English Oven,400g,EA,2019-04-01,9999-12-31,True
1132,P100921,Himalaya Toothpaste 100g,C07,Himalaya,100g,EA,2019-04-01,9999-12-31,True
1133,P100924,Anmol Khakhra 60g,C01,Anmol,60g,EA,2019-04-01,9999-12-31,True
1134,P100933,Amul Choco Chewing Gum 25g,C13,Amul Choco,25g,EA,2019-04-01,9999-12-31,True
1135,P100940,Vim Detergent Powder 500ml,C08,Vim,500ml,EA,2019-04-01,9999-12-31,True
1136,P100946,Unibic Khakhra 150g,C01,Unibic,150g,EA,2019-04-01,9999-12-31,True
1137,P100956,Sundrop Rice Bran Oil 1L,C05,Sundrop,1L,EA,2019-04-01,9999-12-31,True
1138,P100959,Paper Boat Cola 250g,C03,Paper Boat,250g,EA,2019-04-01,9999-12-31,True
1139,P100967,Mamypoko Baby Soap Large,C09,Mamypoko,Large,EA,2019-04-01,9999-12-31,True
1140,P100974,Local Bakery Sandwich Bread Pack of 2,C11,Local Bakery,Pack of 2,EA,2019-04-01,9999-12-31,True
1141,P100985,Comfort Detergent Powder 500ml,C08,Comfort,500ml,EA,2019-04-01,9999-12-31,True
1142,P100991,Nandini Cheese Slices 500g,C02,Nandini,500g,EA,2019-04-01,9999-12-31,True
1143,P100999,Farm Fresh Apple Loose,C12,Farm Fresh,Loose,KG,2019-04-01,9999-12-31,True
1144,P101004,Johnson's Baby Powder Small,C09,Johnson's,Small,EA,2019-04-01,2024-05-31,False
1145,P101010,Sumeru Ready Paratha 200g,C10,Sumeru,200g,EA,2019-04-01,9999-12-31,True
1146,P101018,Farm Fresh Tomato 500g,C12,Farm Fresh,500g,KG,2019-04-01,9999-12-31,True
1147,P101023,MDH Sambar Powder 100g,C06,MDH,100g,EA,2019-04-01,9999-12-31,True
1148,P101034,Cello Ball Pen 500 sheets,C14,Cello,500 sheets,EA,2019-04-01,9999-12-31,True
1149,P101037,Comfort Fabric Conditioner 500ml,C08,Comfort,500ml,EA,2019-04-01,9999-12-31,True
1150,P101048,Sundrop Sunflower Oil 5L,C05,Sundrop,5L,EA,2019-04-01,9999-12-31,True
1151,P101052,Nestle Milk Chocolate 25g,C13,Nestle,25g,EA,2019-04-01,9999-12-31,True
1152,P101062,Local Bakery Pav Bun 400g,C11,Local Bakery,400g,EA,2019-04-01,9999-12-31,True
1153,P101064,Nestle Dark Chocolate Pack of 10,C13,Nestle,Pack of 10,EA,2019-04-01,9999-12-31,True
1154,P101076,Dhara Sunflower Oil 1L,C05,Dhara,1L,EA,2019-04-01,9999-12-31,True
1155,P101083,Nivea Bathing Soap 75g,C07,Nivea,75g,EA,2019-04-01,9999-12-31,True
1156,P101090,Nestle Dark Chocolate 50g,C13,Nestle,50g,EA,2019-04-01,9999-12-31,True
1157,P101095,Farm Fresh Potato 500g,C12,Farm Fresh,500g,KG,2019-04-01,9999-12-31,True
1158,P101101,iD Fresh Frozen Peas 200g,C10,iD Fresh,200g,EA,2019-04-01,9999-12-31,True
1159,P101106,Mother Dairy Ghee 200g,C02,Mother Dairy,200g,EA,2019-04-01,9999-12-31,True
1160,P101117,Aashirvaad Whole Wheat Atta 10kg,C04,Aashirvaad,10kg,EA,2019-04-01,9999-12-31,True
1161,P101122,Sunfeast Namkeen Mix 60g,C01,Sunfeast,60g,EA,2019-04-01,9999-12-31,True
1162,P101127,Local Mandi Onion 1kg,C12,Local Mandi,1kg,KG,2019-04-01,9999-12-31,True
1163,P101134,24 Mantra Whole Wheat Atta 1kg,C04,24 Mantra,1kg,EA,2019-04-01,9999-12-31,True
1164,P101142,iD Fresh Idli Batter 200g,C10,iD Fresh,200g,EA,2019-04-01,9999-12-31,True
1165,P101152,Comfort Toilet Cleaner 500ml,C08,Comfort,500ml,EA,2019-04-01,9999-12-31,True
1166,P101156,Eastern Garam Masala 500g,C06,Eastern,500g,EA,2019-04-01,9999-12-31,True
1167,P101164,Thums Up Soda 1L,C03,Thums Up,1L,EA,2019-04-01,9999-12-31,True
1168,P101174,Mother Dairy Curd 500ml,C02,Mother Dairy,500ml,EA,2019-04-01,9999-12-31,True
1169,P101177,Harvest Gold Rusk Pack of 2,C11,Harvest Gold,Pack of 2,EA,2019-04-01,9999-12-31,True
1170,P101184,Cello Pencil Box 500 sheets,C14,Cello,500 sheets,EA,2019-04-01,9999-12-31,True
1171,P101190,Sunfeast Marie Gold 100g,C01,Sunfeast,100g,EA,2019-04-01,9999-12-31,True
1172,P101201,Harvest Gold Pav Bun Pack of 2,C11,Harvest Gold,Pack of 2,EA,2019-04-01,9999-12-31,True
1173,P101208,24 Mantra Whole Wheat Atta 1kg,C04,24 Mantra,1kg,EA,2019-04-01,9999-12-31,True
1174,P101213,Nestle Milk Chocolate Pack of 10,C13,Nestle,Pack of 10,EA,2019-04-01,9999-12-31,True
1175,P101218,Lizol Toilet Cleaner 200g,C08,Lizol,200g,EA,2019-04-01,9999-12-31,True
1176,P101225,Nataraj Ball Pen Pack of 5,C14,Nataraj,Pack of 5,EA,2019-04-01,9999-12-31,True
1177,P101237,iD Fresh Ready Paratha 1kg,C10,iD Fresh,1kg,EA,2019-04-01,9999-12-31,True
1178,P101242,Perfetti Dark Chocolate 25g,C13,Perfetti,25g,EA,2019-04-01,9999-12-31,True
1179,P101248,Real Instant Coffee 600ml,C03,Real,600ml,EA,2019-04-01,9999-12-31,True
1180,P101258,Paper Boat Mango Juice 600ml,C03,Paper Boat,600ml,EA,2019-04-01,9999-12-31,True
1181,P101263,Nivea Hair Oil 100g,C07,Nivea,100g,EA,2019-04-01,9999-12-31,True
1182,P101272,Everest Chilli Powder 200g,C06,Everest,200g,EA,2019-04-01,9999-12-31,True
1183,P101279,Local Mandi Apple Loose,C12,Local Mandi,Loose,KG,2019-04-01,9999-12-31,True
1184,P101283,Bru Mango Juice 250g,C03,Bru,250g,EA,2019-04-01,9999-12-31,True
1185,P101292,Nandini Curd 200g,C02,Nandini,200g,EA,2019-04-01,9999-12-31,True
1186,P101298,ITC Master Chef Frozen Peas 1kg,C10,ITC Master Chef,1kg,EA,2019-04-01,9999-12-31,True
1187,P101305,Britannia Khakhra 100g,C01,Britannia,100g,EA,2019-04-01,9999-12-31,True
1188,P101311,Dhara Groundnut Oil 1L,C05,Dhara,1L,EA,2019-04-01,9999-12-31,True
1189,P101321,Thums Up Tea Leaf 250g,C03,Thums Up,250g,EA,2019-04-01,9999-12-31,True
1190,P101327,Harpic Fabric Conditioner 200g,C08,Harpic,200g,EA,2019-04-01,9999-12-31,True
1191,P101332,Patanjali Body Lotion 75g,C07,Patanjali,75g,EA,2019-04-01,9999-12-31,True
1192,P101339,Sundrop Rice Bran Oil 1L,C05,Sundrop,1L,EA,2019-04-01,9999-12-31,True
1193,P101345,Heritage Ghee 1L,C02,Heritage,1L,EA,2019-04-01,9999-12-31,True
1194,P101356,Saffola Rice Bran Oil 5L,C05,Saffola,5L,EA,2019-04-01,9999-12-31,True
1195,P101359,Himalaya Toothpaste 340ml,C07,Himalaya,340ml,EA,2019-04-01,2024-05-31,False
1196,P101367,Real Mineral Water 1L,C03,Real,1L,EA,2019-04-01,9999-12-31,True
1197,P101374,Amul Choco Milk Chocolate 100g,C13,Amul Choco,100g,EA,2019-04-01,9999-12-31,True
1198,P101384,Eastern Garam Masala 200g,C06,Eastern,200g,EA,2019-04-01,9999-12-31,True
1199,P101389,Real Cola 250g,C03,Real,250g,EA,2019-04-01,9999-12-31,True
1200,P101393,Aachi Chilli Powder 100g,C06,Aachi,100g,EA,2019-04-01,9999-12-31,True
1201,P101404,Mother Dairy Butter 200ml,C02,Mother Dairy,200ml,EA,2019-04-01,9999-12-31,True
1202,P101410,Mamypoko Baby Wipes XL,C09,Mamypoko,XL,EA,2019-04-01,9999-12-31,True
1203,P101419,Huggies Baby Powder Medium,C09,Huggies,Medium,EA,2019-04-01,9999-12-31,True
1204,P101421,Parle Glucose Biscuit 150g,C01,Parle,150g,EA,2019-04-01,9999-12-31,True
1205,P101428,Paper Boat Mango Juice 1L,C03,Paper Boat,1L,EA,2019-04-01,9999-12-31,True
1206,P101440,Safal Apple 500g,C12,Safal,500g,KG,2019-04-01,9999-12-31,True
1207,P101444,Gold Winner Mustard Oil 1L,C05,Gold Winner,1L,EA,2019-04-01,9999-12-31,True
1208,P101454,Cello Pencil Box 500 sheets,C14,Cello,500 sheets,EA,2019-04-01,9999-12-31,True
1209,P101458,India Gate Basmati Rice 5kg,C04,India Gate,5kg,EA,2019-04-01,9999-12-31,True
1210,P101465,Nivea Bathing Soap 75g,C07,Nivea,75g,EA,2019-04-01,9999-12-31,True
1211,P101470,Local Mandi Potato Loose,C12,Local Mandi,Loose,KG,2019-04-01,9999-12-31,True
1212,P101481,Eastern Sambar Powder 100g,C06,Eastern,100g,EA,2019-04-01,9999-12-31,True
1213,P101489,India Gate Chana Dal 10kg,C04,India Gate,10kg,EA,2019-04-01,9999-12-31,True
1214,P101492,Nestle Milk Chocolate 50g,C13,Nestle,50g,EA,2019-04-01,9999-12-31,True
1215,P101500,Fortune Sona Masoori Rice 1kg,C04,Fortune,1kg,EA,2019-04-01,9999-12-31,True
1216,P101507,Nandini Ghee 500g,C02,Nandini,500g,EA,2019-04-01,9999-12-31,True
1217,P101515,Farm Fresh Apple Loose,C12,Farm Fresh,Loose,KG,2019-04-01,9999-12-31,True
1218,P101520,Gold Winner Groundnut Oil 1L,C05,Gold Winner,1L,EA,2019-04-01,9999-12-31,True
1219,P101530,Himalaya Hair Oil 340ml,C07,Himalaya,340ml,EA,2019-04-01,9999-12-31,True
1220,P101533,Johnson's Baby Powder Large,C09,Johnson's,Large,EA,2019-04-01,9999-12-31,True
1221,P101543,Nestle Milk Chocolate 100g,C13,Nestle,100g,EA,2019-04-01,9999-12-31,True
1222,P101547,Modern Muffin 6 pc,C11,Modern,6 pc,EA,2019-04-01,9999-12-31,True
1223,P101558,Sunfeast Cookies 60g,C01,Sunfeast,60g,EA,2019-04-01,9999-12-31,True
1224,P101564,Paper Boat Mango Juice 2L,C03,Paper Boat,2L,EA,2019-04-01,9999-12-31,True
1225,P101570,Huggies Baby Wipes Large,C09,Huggies,Large,EA,2019-04-01,9999-12-31,True
1226,P101578,English Oven Muffin Pack of 2,C11,English Oven,Pack of 2,EA,2019-04-01,9999-12-31,True
1227,P101585,Britannia Khakhra 400g,C01,Britannia,400g,EA,2019-04-01,9999-12-31,True
1228,P101592,Colgate Hair Oil 180ml,C07,Colgate,180ml,EA,2019-04-01,9999-12-31,True
1229,P101599,Surf Excel Floor Cleaner 500g,C08,Surf Excel,500g,EA,2019-04-01,9999-12-31,True
1230,P101603,Huggies Baby Soap Large,C09,Huggies,Large,EA,2019-04-01,9999-12-31,True
1231,P101613,Britannia Glucose Biscuit 250g,C01,Britannia,250g,EA,2019-04-01,9999-12-31,True
1232,P101622,Mother Dairy Paneer 500ml,C02,Mother Dairy,500ml,EA,2019-04-01,9999-12-31,True
1233,P101626,Mamypoko Baby Soap XL,C09,Mamypoko,XL,EA,2019-04-01,9999-12-31,True
1234,P101634,Bisleri Tea Leaf 1L,C03,Bisleri,1L,EA,2019-04-01,9999-12-31,True
1235,P101638,Camlin Ball Pen Pack of 5,C14,Camlin,Pack of 5,EA,2019-04-01,9999-12-31,True
1236,P101648,Eastern Turmeric Powder 50g,C06,Eastern,50g,EA,2019-04-01,9999-12-31,True
1237,P101656,Classmate Pencil Box 1 pc,C14,Classmate,1 pc,EA,2019-04-01,9999-12-31,True
1238,P101660,English Oven Pav Bun 6 pc,C11,English Oven,6 pc,EA,2019-04-01,9999-12-31,True
1239,P101669,English Oven Pav Bun 400g,C11,English Oven,400g,EA,2019-04-01,9999-12-31,True
1240,P101674,Real Mineral Water 600ml,C03,Real,600ml,EA,2019-04-01,9999-12-31,True
1241,P101681,Camlin Ball Pen Pack of 5,C14,Camlin,Pack of 5,EA,2019-04-01,9999-12-31,True
1242,P101690,Saffola Rice Bran Oil 5L,C05,Saffola,5L,EA,2019-04-01,9999-12-31,True
1243,P101697,Farm Fresh Onion Loose,C12,Farm Fresh,Loose,KG,2019-04-01,9999-12-31,True
1244,P101702,Vim Detergent Powder 500g,C08,Vim,500g,EA,2019-04-01,9999-12-31,True
1245,P101710,Nataraj Pencil Box 1 pc,C14,Nataraj,1 pc,EA,2019-04-01,9999-12-31,True
1246,P101720,Catch Garam Masala 100g,C06,Catch,100g,EA,2019-04-01,9999-12-31,True
1247,P101722,Gold Winner Rice Bran Oil 1L,C05,Gold Winner,1L,EA,2019-04-01,9999-12-31,True
1248,P101732,Pampers Baby Powder Medium,C09,Pampers,Medium,EA,2019-04-01,9999-12-31,True
1249,P101740,India Gate Sona Masoori Rice 1kg,C04,India Gate,1kg,EA,2019-04-01,9999-12-31,True
1250,P101747,Amul Ghee 200ml,C02,Amul,200ml,EA,2019-04-01,9999-12-31,True
1251,P101751,Thums Up Mineral Water 1L,C03,Thums Up,1L,EA,2019-04-01,9999-12-31,True
1252,P101762,Mamypoko Baby Wipes Medium,C09,Mamypoko,Medium,EA,2019-04-01,9999-12-31,True
1253,P101766,McCain Ready Paratha 400g,C10,McCain,400g,EA,2019-04-01,9999-12-31,True
1254,P101774,Mamypoko Baby Wipes Small,C09,Mamypoko,Small,EA,2019-04-01,9999-12-31,True
1255,P101779,Aachi Turmeric Powder 500g,C06,Aachi,500g,EA,2019-04-01,9999-12-31,True
1256,P101789,Mother Dairy Ghee 500g,C02,Mother Dairy,500g,EA,2019-04-01,9999-12-31,True
1257,P101796,Gold Winner Groundnut Oil 5L,C05,Gold Winner,5L,EA,2019-04-01,9999-12-31,True
1258,P101802,Everest Garam Masala 50g,C06,Everest,50g,EA,2019-04-01,9999-12-31,True
