notice_id_a,notice_id_b,label,estimated_similarity,survives_candidate_stage,candidate_count
N002476,N005891,different,0.375,False,3722
N004988,N009224,different,0.453125,False,5858
N001677,N011151,different,0.4453125,False,3064
N006731,N006732,same,0.9453125,True,3240
N002200,N009548,different,0.4140625,True,6252
N001873,N001874,same,0.9375,True,7277
N006820,N010293,different,0.59375,True,5073
N004096,N007060,different,0.765625,True,6637
N003135,N003543,different,0.671875,True,6308
N006564,N007387,different,0.6328125,True,1559
N004906,N008027,different,0.6640625,True,7558
N000145,N007083,different,0.328125,False,4041
N008087,N008088,same,0.4140625,False,2287
N007153,N007701,different,0.5390625,True,2071
N010825,N010826,same,0.59375,True,6581
N006905,N006906,same,0.9921875,True,7711
N001863,N002786,different,0.3984375,False,2589
N001735,N005403,different,0.6875,True,5627
N009982,N009985,same,0.28125,False,6548
N008801,N011616,different,0.453125,True,7375
N003201,N011795,different,0.6328125,True,2926
N009040,N010335,different,0.3125,False,2637
N000276,N000278,same,0.359375,False,1515
N001338,N001340,same,1.0,True,5960
N011118,N011119,same,0.9296875,True,6996
N000768,N000770,same,0.640625,True,5539
N001515,N006807,different,0.6328125,True,5863
N009100,N009150,different,0.46875,True,5002
N000437,N010413,different,0.3671875,False,2996
N008497,N008498,same,0.65625,True,3671
N007145,N007146,same,0.5234375,True,2482
N007053,N010560,different,0.625,True,4583
N008280,N010910,different,0.5390625,True,6140
N001364,N001365,same,0.984375,True,6446
N001075,N009237,different,0.6796875,True,4390
N003268,N007976,different,0.78125,True,6300
N004168,N004169,same,0.71875,True,3773
N003317,N011369,different,0.453125,True,5348
N002748,N011595,different,0.6796875,True,2559
N000873,N002331,different,0.3203125,False,2553
N009379,N009380,same,1.0,True,6145
N007382,N009541,different,0.3359375,False,6225
N006828,N011568,different,0.40625,False,6082
N005210,N009890,different,0.4609375,False,4055
N009046,N010077,different,0.640625,True,2677
N000659,N006306,different,0.3984375,False,2263
N005472,N007849,different,0.3515625,False,4048
N007681,N009555,different,0.5625,False,5003
N007201,N010116,different,0.5546875,False,4481
N002665,N004599,different,0.40625,True,2734
N007557,N008376,different,0.765625,True,6715
N000189,N001381,different,0.546875,True,3927
N004220,N007941,different,0.7109375,True,2730
N002036,N008928,different,0.2734375,False,3589
N003662,N010020,different,0.625,True,1528
N004066,N006280,different,0.5234375,True,6000
N005647,N010086,different,0.46875,True,5032
N002586,N006131,different,0.5,True,5399
N004043,N004969,different,0.2578125,False,2307
N010853,N010857,same,0.765625,True,3939
N000202,N007774,different,0.578125,True,7389
N002852,N002853,same,0.65625,True,6486
N008049,N010976,different,0.5546875,False,5808
N010028,N010039,different,0.671875,True,3513
N004028,N010035,different,0.5859375,True,1843
N001702,N010946,different,0.375,True,2950
N008791,N008803,different,0.5703125,True,2206
N000684,N004640,different,0.5234375,True,6266
N011929,N011930,same,0.484375,True,3769
N003860,N004075,different,0.625,True,3141
N003884,N007431,different,0.328125,False,2039
N002204,N007953,different,0.4453125,True,6042
N005664,N005666,same,0.9765625,True,3072
N003982,N006359,different,0.5390625,True,2021
N002817,N002819,same,0.3515625,False,4981
N002626,N002629,same,0.6328125,True,2347
N000262,N002156,different,0.84375,True,6184
N000131,N003422,different,0.5703125,False,2461
N000852,N010531,different,0.2890625,False,2256
N003659,N005484,different,0.34375,False,2723
N001115,N009773,different,0.703125,True,2481
N010941,N010942,same,0.9609375,True,7277
N008101,N008840,different,0.4765625,False,5521
N005983,N009546,different,0.6796875,True,3792
N001180,N006053,different,0.71875,True,4253
N004248,N005277,different,0.4609375,True,3937
N006025,N010086,different,0.5390625,True,7107
N002970,N007570,different,0.6171875,False,3816
N002439,N007343,different,0.6328125,True,3641
N001488,N005914,different,0.578125,True,5583
N001624,N006762,different,0.3125,False,791
N004870,N006313,different,0.5546875,True,6222
N011017,N011020,same,0.6015625,True,2964
N002389,N002391,same,0.6796875,True,6273
N000672,N002056,different,0.359375,False,2908
N003476,N004605,different,0.6171875,True,6452
N008022,N010492,different,0.6640625,True,6049
N009775,N009854,different,0.296875,False,6032
N001443,N010092,different,0.6875,True,6080
N008152,N008153,same,0.984375,True,3316
N004151,N009894,different,0.3671875,False,2229
N009151,N011771,different,0.5234375,False,2034
N004672,N008166,different,0.7734375,True,3464
N005081,N007027,different,0.3359375,False,3041
N002173,N008545,different,0.5703125,True,7152
N003781,N003783,same,0.9609375,True,4915
N002084,N007552,different,0.6015625,True,1540
N004001,N004002,same,0.5859375,True,2345
N009163,N009439,different,0.4375,False,4018
N002426,N003338,different,0.3828125,False,2412
N006423,N006425,same,0.9765625,True,6626
N007876,N009829,different,0.7421875,True,5608
N007687,N009311,different,0.7734375,True,2750
N001746,N002955,different,0.2421875,False,2431
N008284,N008285,same,0.703125,True,6240
N001309,N011869,different,0.2890625,False,2249
N002589,N004081,different,0.34375,False,3451
N005300,N006349,different,0.5546875,True,2426
N009455,N009456,same,0.6484375,True,3765
N004081,N010560,different,0.375,False,2503
N004306,N004307,same,1.0,True,2929
N000884,N011090,different,0.6171875,True,2757
N000010,N003634,different,0.34375,False,3570
N002225,N011649,different,0.578125,True,4639
N001484,N003224,different,0.3125,False,3589
N008411,N008412,same,0.4296875,False,2628
N006804,N010502,different,0.4296875,False,5603
N009437,N010826,different,0.6796875,True,3855
N000335,N007009,different,0.6015625,True,1493
N002857,N005654,different,0.5,True,2344
N000078,N007325,different,0.6328125,True,819
N000864,N005773,different,0.4453125,True,6296
N007718,N008135,different,0.6953125,True,3386
N006976,N010778,different,0.59375,False,3105
N002774,N011414,different,0.484375,False,5235
N004762,N010111,different,0.6328125,True,2079
N003908,N003909,same,0.34375,False,7777
N000664,N000666,same,0.53125,True,4664
N004323,N009954,different,0.5234375,True,5656
N010390,N011580,different,0.265625,False,2497
N004880,N004881,same,0.953125,True,6262
N000818,N006620,different,0.375,False,6536
N001043,N002862,different,0.7265625,True,7463
N000640,N011658,different,0.4609375,False,2977
N008018,N008676,different,0.2734375,False,2474
N002685,N002686,same,0.5859375,True,3909
N000449,N010133,different,0.5,False,4815
N004683,N007002,different,0.390625,False,3038
N010844,N011602,different,0.5625,True,5459
N002440,N002443,same,0.390625,False,5448
N001357,N003372,different,0.5546875,False,6721
N010856,N010857,same,0.6640625,True,5568
N005262,N005263,same,0.421875,False,3003
N000070,N004969,different,0.8046875,True,3429
N003615,N009126,different,0.765625,True,6246
N003236,N006862,different,0.3515625,False,5442
N001257,N005818,different,0.3671875,False,2299
N001027,N005073,different,0.46875,True,3890
N002169,N011831,different,0.5546875,False,7632
N002691,N005271,different,0.390625,True,2382
N005141,N007639,different,0.5078125,True,7216
N000675,N005669,different,0.75,True,6022
N005337,N011060,different,0.234375,False,2674
N001699,N004758,different,0.390625,False,2381
N007012,N009759,different,0.4140625,False,4574
N004855,N004856,same,0.671875,True,6917
N010491,N010492,same,0.734375,True,5485
N003270,N006319,different,0.328125,False,2431
N003144,N011859,different,0.53125,True,2110
N000889,N000890,same,0.6484375,True,5348
N001432,N001435,same,0.6328125,True,5873
N008926,N010073,different,0.3828125,False,2503
N006903,N010093,different,0.4375,False,6475
N000486,N000487,same,0.9921875,True,3915
N006198,N007366,different,0.328125,False,6195
N004084,N004085,same,0.6484375,True,6591
N007902,N007976,different,0.765625,True,5269
N002019,N002021,same,0.609375,True,5030
N008725,N008728,same,0.703125,True,7615
N001957,N001958,same,1.0,True,5722
N005497,N008336,different,0.359375,False,2752
N009301,N009302,same,0.9921875,True,4118
N008499,N008952,different,0.7578125,True,6688
N002300,N003674,different,0.4140625,False,2302
N009680,N011001,different,0.296875,False,6407
N005556,N006568,different,0.2734375,False,1626
N003574,N007121,different,0.5234375,True,6442
N004353,N004355,same,0.6640625,True,7051
N004438,N004442,same,0.796875,True,5560
N004678,N004680,same,0.859375,True,5000
N000056,N009414,different,0.28125,False,2476
N005365,N009764,different,0.65625,True,6966
N002248,N003503,different,0.484375,False,1918
N010508,N010509,same,0.3828125,False,6116
N001817,N007306,different,0.2890625,False,6290
N003274,N007023,different,0.6875,True,2766
N005079,N005080,same,0.4375,False,2214
N000591,N011538,different,0.3984375,False,5950
N009925,N010387,different,0.3203125,False,5296
N001053,N002186,different,0.6875,True,7641
N008562,N009324,different,0.75,True,4234
N000250,N003051,different,0.3671875,False,2688
N001525,N001678,different,0.75,True,3171
N008599,N008602,same,0.5859375,True,5015
N003942,N010918,different,0.5,True,5783
N002513,N007637,different,0.6796875,True,2666
N009703,N009705,same,0.5859375,True,2418
N004315,N009584,different,0.6484375,True,6228
N010620,N010621,same,0.9296875,True,6562
N008248,N008249,same,0.453125,False,7207
N005222,N005225,same,0.4375,False,3095
N002502,N002505,same,0.9609375,True,6797
N006200,N006201,same,0.375,True,5487
N000217,N002582,different,0.4609375,True,6019
N001207,N004094,different,0.65625,True,1522
N005453,N010471,different,0.578125,True,3299
N001063,N005024,different,0.6015625,True,7422
N000697,N005493,different,0.28125,False,1979
N003555,N009272,different,0.25,False,2236
N005393,N007391,different,0.5390625,True,5950
N006121,N009928,different,0.8125,True,4052
N004229,N006064,different,0.234375,False,1896
N003265,N010005,different,0.609375,True,2678
N007303,N007376,different,0.2734375,False,2157
N005512,N007327,different,0.7890625,True,7594
N009065,N011122,different,0.2578125,False,1870
N001376,N001377,same,0.390625,True,2799
N000357,N000359,same,0.6328125,True,5816
N008677,N011938,different,0.5859375,True,6729
N002197,N002198,same,0.6328125,True,1963
N001905,N005873,different,0.6328125,False,2425
N007497,N007499,same,0.6796875,True,5889
N007334,N007335,same,0.9375,True,6535
N002570,N005618,different,0.375,False,2614
N001074,N002707,different,0.3828125,True,3977
N003691,N004544,different,0.2734375,False,2323
N003415,N008452,different,0.578125,False,2818
N011716,N011717,same,1.0,True,8470
N001083,N011985,different,0.5703125,True,4261
N011499,N011500,same,0.9921875,True,2682
N004212,N009766,different,0.7890625,True,6347
N002974,N006457,different,0.4765625,False,5666
N003854,N003855,same,0.5859375,True,6317
N005378,N005379,same,0.9453125,True,7242
N011829,N011830,same,0.9296875,True,6675
N005326,N006145,different,0.484375,False,6157
N006145,N006146,same,0.71875,True,5817
N002008,N003498,different,0.6015625,True,4696
N010513,N010514,same,0.96875,True,5471
N000443,N006009,different,0.25,False,2245
N000043,N000050,same,0.984375,True,7395
N008967,N008968,same,0.34375,False,1538
N002801,N002802,same,0.703125,True,6108
N000119,N009303,different,0.2734375,False,2005
N002058,N002059,same,0.96875,True,6023
N001325,N009136,different,0.5234375,True,4461
N003642,N009092,different,0.4765625,False,5180
N004298,N004299,same,1.0,True,2884
N007729,N007732,same,1.0,True,6748
N007652,N008774,different,0.625,True,2257
N000834,N001578,different,0.34375,False,2194
N002673,N009844,different,0.765625,True,6202
N003008,N009152,different,0.4921875,True,3205
N001326,N001328,same,0.71875,True,3265
N009445,N009562,different,0.7265625,True,2243
N005985,N009162,different,0.421875,True,4600
N004071,N004072,same,1.0,True,6559
N000384,N002019,different,0.34375,False,2122
N003494,N003495,same,0.21875,False,406
N005806,N011786,different,0.453125,False,3749
N011420,N011984,different,0.671875,True,2394
N006646,N009384,different,0.28125,False,2450
N002639,N002640,same,0.9609375,True,7402
N006541,N009386,different,0.640625,True,2369
N006760,N008055,different,0.6953125,True,2914
N001785,N004629,different,0.7109375,True,5774
N000741,N000745,same,0.984375,True,4952
N008186,N009304,different,0.3515625,True,5922
N001323,N006364,different,0.6484375,True,1538
N003863,N010008,different,0.375,False,2744
N000058,N000184,different,0.6015625,True,2434
N000412,N004657,different,0.3828125,False,2815
N000926,N003644,different,0.71875,True,4111
N004369,N008199,different,0.6015625,True,6674
N003450,N006996,different,0.421875,True,5819
N004410,N006730,different,0.34375,False,5349
N006041,N011988,different,0.2734375,False,2336
N004913,N010317,different,0.6953125,True,7624
N007995,N007997,same,0.5859375,True,2699
N001334,N006274,different,0.3671875,False,3427
N004939,N011284,different,0.2265625,False,1890
N005634,N006584,different,0.453125,False,3097
N003301,N003302,same,0.625,True,5855
N002267,N010375,different,0.4921875,True,3533
N003158,N007300,different,0.5,True,5214
N002085,N007988,different,0.5703125,True,6015
N001118,N001120,same,0.9765625,True,7659
N000030,N006079,different,0.53125,True,6346
N005137,N009628,different,0.5390625,True,7021
N004055,N008225,different,0.3125,False,7877
N001879,N004065,different,0.421875,False,2897
N000486,N011101,different,0.59375,True,3915
N007430,N010330,different,0.703125,True,5214
N006041,N009700,different,0.6875,True,2336
N000297,N003849,different,0.390625,False,4873
N003611,N007188,different,0.5625,True,4547
N009978,N009979,same,0.6015625,True,3377
N001022,N001023,same,0.671875,True,7188
N001629,N005005,different,0.546875,True,8523
N002923,N007247,different,0.3359375,False,5735
N003164,N009587,different,0.375,False,6023
N006832,N010598,different,0.46875,False,6069
N006511,N006512,same,0.65625,True,7296
N002304,N009060,different,0.3359375,False,3005
N002106,N006701,different,0.609375,True,7679
N006856,N006857,same,0.625,True,3646
N003821,N009085,different,0.6171875,True,1871
N004522,N009816,different,0.7109375,True,2127
N008514,N008515,same,0.46875,False,6286
N008382,N009718,different,0.3359375,False,2001
N005805,N011332,different,0.5390625,True,1908
N004216,N004699,different,0.53125,True,5531
N001432,N008873,different,0.734375,True,5873
N002149,N003382,different,0.1875,False,1514
N004731,N009345,different,0.6015625,True,5229
N002163,N002307,different,0.78125,True,3025
N002952,N008752,different,0.5,True,6297
N000745,N005843,different,0.4609375,False,5067
N005260,N011019,different,0.25,False,2283
N002299,N009882,different,0.328125,False,2388
N002171,N005867,different,0.421875,False,601
N005334,N007457,different,0.4453125,False,7281
N005304,N005305,same,0.953125,True,5943
N005134,N005135,same,0.640625,True,5861
N000982,N005390,different,0.53125,False,5261
N002992,N009046,different,0.6875,True,2756
N000628,N000633,same,0.3671875,False,6842
N000573,N006170,different,0.3203125,False,2668
N010406,N010408,same,0.9375,True,3016
N002446,N002447,same,0.5859375,True,3178
N000735,N001335,different,0.6640625,True,2436
N008238,N011480,different,0.6953125,True,4441
N000321,N000443,different,0.28125,False,5301
N007541,N007546,same,0.3203125,False,7420
N002683,N007848,different,0.328125,False,2400
N009983,N009985,same,0.296875,False,6894
N007568,N007570,same,0.4765625,False,2901
N005448,N005962,different,0.609375,True,7183
N004767,N004768,same,0.9609375,True,5055
N007023,N007916,different,0.71875,True,6623
N000315,N000316,same,0.6015625,True,2405
N001578,N002947,different,0.4140625,False,3598
N009857,N010711,different,0.515625,False,3360
N002290,N003634,different,0.796875,True,5410
N011438,N011440,same,0.6171875,True,5419
N010035,N011646,different,0.640625,True,1536
N001295,N001296,same,0.6484375,True,6073
N005825,N010265,different,0.5390625,True,7595
N002351,N005508,different,0.7890625,True,6468
N011075,N011077,same,0.9453125,True,6943
N011335,N011336,same,0.53125,True,2530
N000514,N011152,different,0.7578125,True,6541
N010762,N010766,same,0.9453125,True,8312
N001314,N003288,different,0.75,True,4923
N001403,N001405,same,0.265625,False,1887
N010389,N010391,same,0.921875,True,6173
N001258,N001261,same,0.9921875,True,7295
N003574,N011053,different,0.6640625,True,6442
N001484,N005371,different,0.671875,True,3589
N005426,N005427,same,0.9375,True,5467
N008443,N010211,different,0.40625,False,3204
N005517,N011613,different,0.2734375,False,2321
N005828,N010514,different,0.2890625,False,2488
N011154,N011156,same,0.6640625,True,5422
N002595,N003310,different,0.46875,False,5029
N008630,N011336,different,0.6875,True,2366
N004951,N008794,different,0.6171875,True,3815
N000391,N004186,different,0.6328125,True,2665
N000166,N008677,different,0.5234375,True,4409
N009154,N011317,different,0.7265625,True,6747
N002589,N009612,different,0.6171875,True,3451
N008268,N009916,different,0.671875,True,2752
N002316,N002317,same,0.6171875,True,1786
N006596,N011033,different,0.4140625,False,2809
N010106,N010107,same,0.46875,False,2214
N008409,N008410,same,0.9921875,True,3621
N001937,N007430,different,0.5859375,True,2078
N000078,N006886,different,0.6328125,True,819
N010999,N011001,same,0.3671875,False,7494
N001357,N010788,different,0.6015625,True,6721
N000906,N011149,different,0.6875,True,5834
N003435,N009318,different,0.6171875,True,7475
N002916,N004445,different,0.6875,True,1532
N003770,N011367,different,0.5859375,True,3306
N010980,N010981,same,0.703125,True,4488
N005040,N005041,same,0.9609375,True,5758
N008937,N008938,same,0.1953125,False,1524
N002071,N006588,different,0.2109375,False,2097
N010261,N011914,different,0.5859375,True,5648
N000670,N000671,same,0.984375,True,7295
N000489,N007029,different,0.609375,True,2670
N007633,N010942,different,0.46875,False,4694
N005243,N006569,different,0.328125,False,3175
N001083,N001567,different,0.4375,False,4261
N000282,N006591,different,0.578125,False,5115
N003362,N003364,same,1.0,True,7115
N005927,N008816,different,0.6484375,True,4850
N001289,N001291,same,0.296875,False,2283
N005231,N005232,same,0.96875,True,5203
N003835,N003837,same,0.6953125,True,8091
N004167,N005115,different,0.796875,True,2422
N002040,N003281,different,0.640625,True,6672
N002605,N010853,different,0.796875,True,2442
N011139,N011793,different,0.359375,False,4528
N001458,N002506,different,0.5078125,True,3387
N007148,N011853,different,0.6015625,True,3445
N001791,N008583,different,0.6640625,True,2655
N008993,N008995,same,0.9765625,True,6972
N004043,N004218,different,0.59375,True,2307
N011601,N011603,same,0.96875,True,6303
N002945,N010292,different,0.453125,False,3412
N006385,N011130,different,0.5625,True,2323
N006764,N009477,different,0.5859375,True,5358
N004409,N011892,different,0.5078125,True,7723
N000023,N002700,different,0.6328125,True,2527
N001669,N003264,different,0.46875,False,3089
N002831,N008460,different,0.390625,False,6084
N004184,N005163,different,0.421875,False,3033
N009665,N011482,different,0.3203125,False,6203
N000340,N009553,different,0.2734375,False,2351
N002043,N008828,different,0.59375,True,7851
N003466,N003469,same,0.6328125,True,5769
N005064,N005067,same,0.6640625,True,6713
N000030,N007467,different,0.5390625,False,6346
N011900,N011901,same,0.609375,True,4264
N006901,N008943,different,0.625,True,4142
N003415,N005750,different,0.3203125,False,2818
N005350,N005352,same,0.3671875,False,7104
N007614,N008823,different,0.3828125,False,3777
N004333,N008255,different,0.578125,True,6737
N009495,N009521,different,0.359375,False,6440
N006462,N006463,same,0.9609375,True,7202
N001629,N008262,different,0.703125,True,8523
N002516,N010795,different,0.7265625,True,6912
N006622,N006623,same,0.78125,True,2102
N010081,N010082,same,0.71875,True,6377
N007560,N007561,same,0.6328125,True,5219
N005941,N006998,different,0.5,True,2091
N004062,N004438,different,0.5,True,6381
N000990,N002973,different,0.40625,False,6617
N008321,N008641,different,0.7265625,True,3680
N008561,N008562,same,0.640625,True,6004
N001360,N001361,same,0.984375,True,4509
N008993,N008994,same,0.9765625,True,6972
N005108,N005109,same,0.6796875,True,5062
N001983,N001984,same,0.4921875,False,3441
N006038,N009049,different,0.4140625,False,3534
N001413,N007076,different,0.53125,True,5275
N005772,N005776,same,0.421875,True,7274
N000237,N009075,different,0.84375,True,6116
N011043,N011048,same,0.3046875,False,1995
N004742,N006981,different,0.5234375,False,3769
N004801,N004802,same,0.59375,True,3031
N003994,N003995,same,0.3046875,False,2348
N000643,N009675,different,0.5703125,True,2633
N006086,N006087,same,0.96875,True,7946
N000266,N010102,different,0.609375,True,6699
N005028,N009701,different,0.5625,True,2485
N009670,N009671,same,0.9921875,True,4347
N001005,N001804,different,0.546875,True,5399
N005314,N010609,different,0.75,True,5222
N000417,N000419,same,0.9609375,True,7770
N011041,N011048,same,0.28125,False,1907
N000992,N001435,different,0.5,False,4695
N004107,N008166,different,0.390625,False,3996
N002590,N002591,same,0.9453125,True,2651
N005119,N005121,same,0.59375,True,2553
N002826,N007185,different,0.296875,False,4478
N009349,N009350,same,0.9765625,True,6892
N003121,N005007,different,0.3828125,False,3739
N002947,N003566,different,0.265625,False,3438
N000485,N000488,same,0.90625,True,3682
N004349,N011691,different,0.671875,True,2483
N011281,N011282,same,0.625,True,5491
N003865,N009372,different,0.375,False,2316
N001198,N010109,different,0.75,True,5372
N011975,N011976,same,0.5859375,True,5544
N006419,N007183,different,0.2890625,True,5743
N010407,N010605,different,0.4921875,True,3137
N009079,N010570,different,0.71875,True,2445
N001415,N006560,different,0.671875,True,5337
N001653,N001654,same,0.5625,True,4363
N003355,N003823,different,0.3046875,False,5709
N000355,N005276,different,0.6796875,True,6329
N007573,N007574,same,0.3203125,True,7634
N007999,N008002,same,0.953125,True,4051
N007057,N010814,different,0.2734375,False,2041
N000264,N009708,different,0.6015625,True,1642
N008825,N008828,same,0.703125,True,2794
N001284,N006893,different,0.5234375,True,5750
N011033,N011035,same,0.9453125,True,3963
N004348,N004349,same,0.5078125,True,4743
N004177,N010930,different,0.6484375,True,7444
N003845,N003847,same,0.6796875,True,6663
N004106,N004107,same,0.3515625,False,2131
N007911,N009413,different,0.4609375,False,2131
N001010,N001011,same,0.421875,False,1645
N009213,N010572,different,0.3125,False,2449
N006364,N006366,same,0.2578125,False,1523
N001447,N003703,different,0.5,True,6779
N009727,N010185,different,0.4609375,True,6003
N000605,N002652,different,0.4296875,True,7540
N004016,N004017,same,0.25,False,4273
N010689,N011576,different,0.3515625,False,2886
N001733,N001734,same,0.8671875,True,1154
N004845,N007461,different,0.3828125,False,5269
N010880,N010881,same,0.875,True,2339
N000498,N001176,different,0.578125,True,5391
N001285,N003729,different,0.3515625,False,2435
N006173,N008196,different,0.6328125,True,5161
N008110,N009707,different,0.6328125,True,2376
N007193,N010619,different,0.6015625,True,2256
N000561,N003679,different,0.7109375,True,3864
N003026,N003027,same,0.6171875,True,7700
N004552,N004553,same,0.765625,True,4619
N007647,N009169,different,0.671875,True,3089
N005744,N010823,different,0.65625,True,2543
N001880,N002772,different,0.40625,False,6213
N003351,N006982,different,0.3671875,False,2797
N006591,N011935,different,0.7734375,True,7216
N008482,N010584,different,0.6796875,True,6413
N005814,N006544,different,0.3359375,False,2457
N006622,N006638,different,0.328125,False,2102
N008603,N010598,different,0.3671875,False,5014
N000753,N000755,same,0.9296875,True,7716
N006153,N009437,different,0.7734375,True,5827
N002548,N010207,different,0.859375,True,6747
N004026,N010431,different,0.5625,True,6595
N000339,N002440,different,0.5234375,False,3532
N000964,N008611,different,0.7109375,True,3624
N001833,N004195,different,0.7109375,True,2659
N001282,N004950,different,0.2890625,False,5423
N000030,N009868,different,0.515625,True,6346
N001010,N004708,different,0.6015625,False,1645
N000566,N008517,different,0.40625,False,6234
N011092,N011095,same,0.703125,True,6434
N001983,N009014,different,0.5546875,True,3441
N005044,N005045,same,0.9375,True,6626
N003201,N003203,same,1.0,True,2926
N000238,N001915,different,0.6484375,True,6820
N000461,N004754,different,0.6328125,True,2787
N000135,N010890,different,0.328125,False,3185
N011414,N011759,different,0.5234375,True,4247
N003751,N007825,different,0.515625,True,4666
N006774,N009531,different,0.8203125,True,2329
N000516,N006620,different,0.375,False,6724
N004325,N004949,different,0.4765625,False,2264
N000557,N004353,different,0.515625,False,5286
N000286,N008208,different,0.625,True,4030
N002691,N010535,different,0.671875,True,2382
N000490,N006570,different,0.65625,True,2610
N005692,N009368,different,0.328125,False,6144
N006324,N006325,same,0.703125,True,5178
N004951,N011682,different,0.8203125,True,3815
N010982,N010985,same,0.6484375,True,2640
N009834,N009835,same,0.6015625,True,2698
N003500,N003501,same,0.625,True,5703
N010499,N011269,different,0.28125,False,5229
N005257,N010502,different,0.3984375,False,2953
N003920,N006487,different,0.3828125,False,5686
N011834,N011835,same,0.9375,True,7757
N004364,N007454,different,0.390625,False,6297
N004158,N008744,different,0.515625,True,4735
N005771,N006045,different,0.265625,False,2334
N001865,N011525,different,0.6796875,True,7507
N001362,N001363,same,0.265625,False,7858
N009863,N009866,same,0.359375,False,2765
N000175,N002508,different,0.65625,True,8137
N006545,N006546,same,0.640625,True,7316
